# Analysis of Andre Burnham's study of Colony success due to Queen origin,,,,,,,,,,,,,,,,,
# P. Alexander Burnham,,,,,,,,,,,,,,,,,
# 10 Aug 2016,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Metadata ,,,,,,,,,,,,,,,,,
# Author: P. Alexander Burnham,,,,,,,,,,,,,,,,,
# Date: 10 August 2016,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Data Set: These data were collected in 2016 in New York state by Andre Burnham and the Hamilton College bee research team from two yards in NY owned by one beekeeper who volunteered for the study.,,,,,,,,,,,,,,,,,
# Data Source: 2016 Hamilton Bee Research Project,,,,,,,,,,,,,,,,,
# Funding Source: Hamilton College undergraduate research grants,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# Data Collection: Weights of colonies were obtained by summing the weights of individual hive bodies and supers for each colony at each yard (add more about protocols for other assays).,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
# # Columns: (from left to right) FieldID: Id including number location and treatment, Time: Generic ime Seps (1-5), Origin (California and Local), Yard (1 or 2),Nosema (spores per bee) only three time steps,Varroa (mites per 300 bees),Brood (frames of brood in colony),NosemaPA (binary data for nosema),VarroaPA (binary data for mites),MassDay(days after requeening for mass),NosemaDay days after requeening for nosema),VarroaDay days after requeening for varroa),BroodDay days after requeening for brood),MassDate (dates sampled),NosemaDate(dates sampled),VarroaDate(dates sampled),BroodDate (dates sampled),
# Rows: Data points for all columns in order from each collection event,,,,,,,,,,,,,,,,,
# Missing values: NA,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
FieldID,Time,Origin,Yard,Mass,Nosema,Varroa,Brood,NosemaPA,VarroaPA,MassDay,NosemaDay,VarroaDay,BroodDay,MassDate,NosemaDate,VarroaDate,BroodDate
Y1L1,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L2,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L3,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L4,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L5,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L6,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L7,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L8,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L9,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L10,1,Local,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L1,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L2,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L3,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L4,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L5,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L6,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L7,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L8,1,Local,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L9,1,Local,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2L10,1,Local,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C1,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C2,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C3,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C4,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C5,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C6,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C7,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C8,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C9,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1C10,1,California,Yard1,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C1,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C2,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C3,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C4,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C5,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C6,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C7,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C8,1,California,Yard2,NA,NA,NA,4,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C9,1,California,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y2C10,1,California,Yard2,NA,NA,NA,3,NA,NA,NA,NA,NA,-4,NA,NA,NA,5/30/16
Y1L1,2,Local,Yard1,28.4,925000,7,5,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L2,2,Local,Yard1,21.2,850000,2,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L3,2,Local,Yard1,24.2,100000,8,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L4,2,Local,Yard1,22.4,3450000,2,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L5,2,Local,Yard1,31.6,750000,8,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
Y1L6,2,Local,Yard1,21.6,1575000,7,4,1,1,11,13,12,12,6/14/16,6/16/16,6/15/16,6/15/16
